timestamp,approach_edge,probe_count,probe_mean_speed_mps,probe_min_distance_to_stopline_m,probe_max_distance_to_stopline_m
800,2i,8,2.0833,23.04,142.87
800,3i,2,13.4061,8.03,376.82
800,4i,0,,,
805,1i,1,0.0,59.09,59.09
805,2i,8,1.0127,1.02,142.85
805,3i,2,13.0571,8.0,242.64
805,4i,0,,,
810,1i,1,1.8253,55.27,55.27
810,2i,8,0.259,1.0,142.85
810,3i,2,12.3416,8.0,108.61
810,4i,0,,,
815,1i,1,2.6561,44.89,44.89
815,2i,9,3.3424,1.0,483.3
815,3i,1,17.1809,18.76,18.76
815,4i,0,,,
820,1i,1,0.2926,41.08,41.08
820,2i,10,6.0005,1.0,483.3
820,3i,1,27.77,483.3,483.3
820,4i,0,,,
825,1i,1,0.0002,41.05,41.05
825,2i,10,5.3077,1.0,347.17
825,3i,1,27.4134,349.26,349.26
825,4i,0,,,
830,1i,1,0.0,41.05,41.05
830,2i,10,4.214,1.0,224.8
830,3i,1,27.6891,213.27,213.27
830,4i,0,,,
835,1i,2,13.4024,41.05,429.86
835,2i,10,2.6086,1.0,160.78
835,3i,1,24.6034,81.55,81.55
835,4i,0,,,
840,1i,3,15.5221,41.05,453.85
840,2i,10,0.5927,1.0,142.87
840,3i,1,10.7095,0.0,0.0
840,4i,1,27.77,483.3,483.3
845,1i,3,11.7575,41.05,358.78
845,2i,10,0.0148,1.0,141.59
845,3i,0,,,
845,4i,1,26.3671,347.34,347.34
850,1i,3,12.6016,41.05,264.89
850,2i,10,0.0002,1.0,141.53
850,3i,0,,,
850,4i,1,26.5147,211.9,211.9
855,1i,3,8.5917,34.19,175.16
855,2i,10,0.0,1.0,141.52
855,3i,0,,,
855,4i,1,22.7604,83.76,83.76
860,1i,3,4.8092,19.34,102.44
860,2i,10,3.2281,0.13,456.09
860,3i,0,,,
860,4i,1,8.9779,9.96,9.96
865,1i,2,5.976,41.05,42.05
865,2i,9,2.9431,5.0,321.56
865,3i,1,27.77,483.3,483.3
865,4i,2,13.885,1.0,483.3
870,1i,1,0.0,41.05,41.05
870,2i,9,3.0409,5.0,186.0
870,3i,1,27.1319,348.43,348.43
870,4i,2,13.4879,1.0,347.02
875,1i,1,0.0,41.05,41.05
875,2i,10,4.6744,5.0,374.32
875,3i,1,26.7373,214.5,214.5
875,4i,2,13.6494,1.0,212.93
880,1i,2,13.7308,41.05,429.48
880,2i,11,5.1976,0.51,430.81
880,3i,1,21.6323,88.07,88.07
880,4i,2,11.4428,1.0,83.34
885,1i,2,13.8654,41.05,292.92
885,2i,10,4.2369,5.0,295.02
885,3i,2,14.7784,13.68,453.93
885,4i,2,4.4432,1.0,9.77
890,1i,3,11.4476,41.05,473.26
890,2i,9,3.6176,25.72,192.63
890,3i,2,9.4222,1.0,358.56
890,4i,2,0.0,1.0,1.0
895,1i,3,7.3692,39.42,377.47
895,2i,9,1.9049,10.66,156.97
895,3i,2,9.482,1.0,262.72
895,4i,2,0.0,1.0,1.0
900,1i,5,13.0321,28.53,436.53
900,2i,9,0.1422,1.0,156.53
900,3i,2,8.5819,1.0,170.61
900,4i,2,0.0,1.0,1.0
905,1i,5,12.3447,26.05,341.64
905,2i,9,0.6754,1.0,156.53
905,3i,1,13.3197,97.63,97.63
905,4i,1,0.0,1.0,1.0
910,1i,5,10.4054,26.04,249.25
910,2i,9,0.3968,1.0,156.53
910,3i,1,12.2584,36.5,36.5
910,4i,1,0.0,1.0,1.0
915,1i,5,7.1619,26.04,188.34
915,2i,9,0.7083,1.0,156.43
915,3i,1,23.3151,384.57,384.57
915,4i,1,0.0,1.0,1.0
920,1i,5,4.0713,20.56,162.76
920,2i,10,2.3642,1.0,417.67
920,3i,1,23.4272,264.69,264.69
920,4i,1,0.0,1.0,1.0
925,1i,5,0.7494,5.01,152.42
925,2i,10,2.5355,1.0,323.27
925,3i,1,24.213,143.66,143.66
925,4i,1,0.0,1.0,1.0
930,1i,5,0.0688,5.0,149.22
930,2i,10,1.7789,1.0,232.7
