timestamp,approach_edge,camera_range_m,visible_vehicle_count,visible_mean_speed_mps,visible_queue_count,visible_queue_length_m,queue_reaches_camera_edge,probe_count,probe_mean_speed_mps,probe_min_distance_to_stopline_m,probe_max_distance_to_stopline_m,scenario_id,split,design_method,gps_penetration_rate_requested,visible_queue_length_m_change_30s,visible_mean_speed_mps_change_30s,visible_occupancy_fraction,probe_count_change_30s,probe_max_distance_to_stopline_m_change_30s,current_phase,phase_elapsed_s,is_green_for_approach,red_duration_s,estimated_density_k_veh_per_km,observed_flow_veh_per_hour,estimated_queue_front_propagation_m_per_s,estimated_hidden_queue_extension_m,q_u_cheng_veh_per_hour,k_cp1_cheng_veh_per_km,cheng_t_cp2_s,cheng_l_cp2_m,max_queue_length_cheng_m,cheng_t_cp3_s
310,1i,150.0,10,1.8663,9,20.01,False,2,11.7098,1.0,286.9,scenario_normal_balanced,train,development,0.11,7.010000000000002,-1.5170000000000001,0.13340000000000002,1.0,285.9,3.0,1.0,False,0,66.66666666666667,447.91200000000003,0.23366666666666672,,,,310.0,1.0011,,
315,1i,150.0,10,0.7288,9,20.01,False,2,12.2715,1.0,165.38,scenario_normal_balanced,train,development,0.11,7.010000000000002,-0.916,0.13340000000000002,1.0,164.38,3.0,6.0,False,5,66.66666666666667,174.91200000000003,0.23366666666666672,,,,310.0,1.0011,,
320,1i,150.0,7,4.8657,5,20.01,False,2,7.8416,1.0,63.48,scenario_normal_balanced,train,development,0.11,7.010000000000002,0.6571000000000007,0.13340000000000002,1.0,62.48,4.0,4.0,False,10,46.66666666666667,817.4376000000002,0.23366666666666672,,,,310.0,1.0011,,
325,1i,150.0,6,0.332,5,20.01,False,2,0.9961,1.0,26.44,scenario_normal_balanced,train,development,0.11,7.010000000000002,-0.8148,0.13340000000000002,1.0,25.44,4.0,9.0,False,15,40.0,47.808,0.23366666666666672,,,,310.0,1.0011,,
330,1i,150.0,6,0.0003,6,24.01,False,2,0.0009,1.0,24.01,scenario_normal_balanced,train,development,0.11,4.0,-0.0019000000000000002,0.1600666666666667,1.0,23.01,4.0,14.0,False,20,40.0,0.0432,0.13333333333333333,,,,310.0,1.0011,,
335,1i,150.0,6,0.0,6,24.01,False,2,0.0,1.0,24.01,scenario_normal_balanced,train,development,0.11,4.0,0.0,0.1600666666666667,0.0,-382.33,4.0,19.0,False,25,40.0,0.0,0.13333333333333333,,,,310.0,1.0011,,
340,1i,150.0,7,2.4737,6,24.01,False,2,0.0,1.0,24.01,scenario_normal_balanced,train,development,0.11,4.0,0.6073999999999999,0.1600666666666667,0.0,-262.89,4.0,24.0,False,30,46.66666666666667,415.58160000000004,0.13333333333333333,,,,310.0,1.0011,,
345,1i,150.0,9,5.91,6,24.01,False,2,0.0,1.0,24.01,scenario_normal_balanced,train,development,0.11,4.0,5.1812000000000005,0.1600666666666667,0.0,-141.37,5.0,4.0,False,35,60.0,1276.56,0.13333333333333333,,,,310.0,1.0011,,
350,1i,150.0,7,3.0214,4,24.01,False,1,0.0,24.01,24.01,scenario_normal_balanced,train,development,0.11,4.0,-1.8443000000000005,0.1600666666666667,-1.0,-39.47,6.0,2.0,False,40,46.66666666666667,507.59520000000003,0.13333333333333333,,,,310.0,1.0011,,348.0
355,1i,150.0,5,2.4043,2,1.0,False,1,4.1683,16.62,16.62,scenario_normal_balanced,train,development,0.11,-19.01,2.0723000000000003,0.006666666666666667,-1.0,-9.82,7.0,1.0,False,45,33.333333333333336,288.516,-0.6336666666666667,,,,310.0,1.0011,,348.0
360,1i,150.0,6,4.221,4,5.03,False,2,13.607,5.03,374.66,scenario_normal_balanced,train,development,0.11,-18.98,4.2207,0.03353333333333333,0.0,350.65000000000003,7.0,6.0,False,50,40.0,607.8240000000001,-0.6326666666666667,,55.30156310204082,7.742411730943696,359.0,5.0997,,348.0
365,1i,150.0,6,1.8089,5,12.0,False,2,13.6365,5.0,240.17,scenario_normal_balanced,train,development,0.11,-12.010000000000002,1.8089,0.08,0.0,216.16,0.0,4.0,True,,40.0,260.4816,-0.4003333333333334,,55.30156310204082,7.742411730943696,359.0,5.0997,,348.0
370,1i,150.0,7,3.454,5,12.0,False,2,11.9919,5.0,109.17,scenario_normal_balanced,train,development,0.11,-12.010000000000002,0.9803000000000002,0.08,0.0,85.16,0.0,9.0,True,,46.66666666666667,580.272,-0.4003333333333334,,55.30156310204082,7.742411730943696,359.0,5.0997,,348.0
375,1i,150.0,8,3.6321,6,13.71,False,2,5.9198,5.0,28.94,scenario_normal_balanced,train,development,0.11,-10.3,-2.2779000000000003,0.09140000000000001,0.0,4.93,0.0,14.0,True,,53.333333333333336,697.3632,-0.3433333333333334,,55.30156310204082,7.742411730943696,359.0,5.0997,,348.0
380,1i,150.0,8,1.3897,6,13.71,False,2,0.1761,5.0,8.01,scenario_normal_balanced,train,development,0.11,-10.3,-1.6317,0.09140000000000001,1.0,-16.0,0.0,19.0,True,,53.333333333333336,266.8224,-0.3433333333333334,,60.78302948571429,10.825984732320983,380.0,8.0074,,348.0
385,1i,150.0,8,0.4082,7,13.71,False,2,0.0,5.0,8.0,scenario_normal_balanced,train,development,0.11,12.71,-1.9961000000000002,0.09140000000000001,1.0,-8.620000000000001,0.0,24.0,True,,53.333333333333336,78.37440000000001,0.4236666666666667,,60.78302948571429,10.825984732320983,380.0,8.0074,,348.0
390,1i,150.0,9,2.0423,8,19.01,False,2,0.0,5.0,8.0,scenario_normal_balanced,train,development,0.11,13.98,-2.1787,0.12673333333333334,0.0,-366.66,1.0,4.0,False,0,60.0,441.1368,0.466,,,,390.0,5.0021,,
