timestamp,approach_edge,probe_count,probe_mean_speed_mps,probe_min_distance_to_stopline_m,probe_max_distance_to_stopline_m
770,4i,5,3.9608,1.0,377.47
775,1i,6,7.686,1.0,360.37
775,2i,4,12.9006,1.0,333.53
775,3i,4,6.7574,8.95,212.28
775,4i,5,3.8248,1.0,281.69
780,1i,6,5.995,1.0,265.57
780,2i,4,11.9608,1.0,213.32
780,3i,4,4.8849,8.95,92.4
780,4i,5,3.2182,1.0,192.83
785,1i,6,3.6756,1.0,171.69
785,2i,4,7.5986,1.0,96.86
785,3i,4,1.5222,8.95,34.82
785,4i,5,2.3217,1.0,125.82
790,1i,6,3.0057,1.0,88.43
790,2i,3,5.4411,1.0,19.0
790,3i,4,0.0,8.95,30.95
790,4i,5,1.4421,1.0,81.08
795,1i,7,5.3674,1.0,402.98
795,2i,2,0.0,1.0,19.0
795,3i,5,4.7428,8.95,407.62
795,4i,7,7.0439,1.0,415.91
800,1i,7,7.5406,1.0,376.49
800,2i,2,13.8546,19.0,375.63
800,3i,6,7.0934,8.95,396.97
800,4i,8,8.6543,1.0,385.03
805,1i,7,8.6996,1.0,244.54
805,2i,2,14.5112,2.7,242.47
805,3i,6,7.1463,8.95,301.78
805,4i,8,8.0953,1.0,274.77
810,1i,7,5.8271,1.0,126.25
810,2i,2,11.9151,1.0,111.28
810,3i,6,5.4269,8.95,206.8
810,4i,8,5.6541,1.0,184.41
815,1i,7,2.6476,1.0,45.07
815,2i,2,6.7763,1.0,25.99
815,3i,6,2.8979,8.95,124.84
815,4i,7,4.2447,4.72,104.82
820,1i,7,0.1302,1.0,41.76
820,2i,3,6.48,1.0,473.26
820,3i,6,2.7769,8.95,44.11
820,4i,7,7.2911,5.0,483.3
825,1i,8,2.4842,1.0,415.83
825,2i,3,6.3191,1.0,377.76
825,3i,5,0.0,8.95,34.95
825,4i,6,4.5325,5.0,348.7
830,1i,8,2.4274,1.0,317.26
830,2i,3,6.3013,1.0,282.46
830,3i,5,0.0,8.95,34.95
830,4i,6,4.4631,5.0,214.87
835,1i,8,2.1715,1.0,223.19
835,2i,3,6.0513,1.0,188.45
835,3i,5,0.0,8.95,34.95
835,4i,6,4.0969,5.0,81.59
840,1i,8,2.028,1.0,139.63
840,2i,3,4.705,1.0,109.13
840,3i,5,0.0,8.95,34.95
840,4i,6,1.7863,0.0,69.51
845,1i,8,1.8377,1.0,54.65
845,2i,3,3.205,1.0,52.06
845,3i,5,0.3363,7.27,34.95
845,4i,4,0.3559,7.58,69.51
850,1i,10,5.2553,1.0,456.25
850,2i,5,10.0306,1.0,455.96
850,3i,5,6.9987,1.54,403.5
850,4i,4,7.6585,27.34,402.93
855,1i,10,4.9736,1.0,328.78
855,2i,5,9.1859,1.0,360.63
855,3i,5,6.0385,1.0,267.66
855,4i,4,8.3474,15.1,268.82
860,1i,7,7.7006,1.0,205.24
860,2i,3,14.9947,1.0,266.49
860,3i,5,4.8765,1.0,134.82
860,4i,4,5.5269,15.04,146.15
865,1i,6,5.8371,1.0,104.7
865,2i,3,10.1693,1.0,173.6
865,3i,5,2.4059,1.0,51.93
